sourceid,PT,POI,Sr,Vm,PC,Buffer,Curb ramps,Lighting,Number of lanes,On-street parking,Width of bike lane and shoulder,Width of sidewalk,service
23228983,2,0,60,520.88,2,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0
23229253,0,0,40,342.33,2,0.0,1.5,7.0,1.0,1.0,0.15,2.0,0.0
23450086,0,0,60,724.46,0,0.0,1.0,5.5,1.0,0.0,0.15,1.2,0.0
23450307,0,0,60,635.3,2,0.0,2.0,7.0,1.0,1.0,0.3,3.5,0.0
23450309,0,0,40,198.35,2,0.0,2.0,3.0,1.0,1.0,0.15,3.5,0.0
23450310,0,0,40,327.3,1,0.0,1.0,6.0,1.0,0.9,0.15,1.5,0.0
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,0.0
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,0.0
23450361,0,0,60,526.39,1,0.0,1.0,6.0,1.0,1.0,0.15,3.5,0.0
23450442,1,0,60,864.46,2,1.0,1.0,9.0,1.0,1.0,0.15,1.0,0.0
23450443,0,0,40,342.33,0,1.0,1.0,6.0,1.0,1.0,0.15,2.0,0.0
23450444,0,0,40,327.3,1,0.0,1.0,1.0,1.0,1.0,0.15,2.0,0.0
34587912,0,0,60,736.81,0,0.3,1.0,1.0,1.0,1.0,0.35,4.5,0.0
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0
141332059,0,0,60,862.43,1,0.0,1.5,4.0,1.0,0.0,0.3,1.0,0.0
147963534,0,0,40,342.33,0,1.0,1.0,9.0,1.0,1.0,0.15,1.0,0.0
211245922,0,0,60,573.6,0,0.0,2.0,1.0,1.0,0.0,0.3,1.0,0.0
265635866,0,0,40,349.26,0,0.0,1.0,1.0,1.0,1.0,0.15,2.0,0.0
265635871,0,0,40,188.92,0,0.0,1.0,6.0,1.0,0.9,0.15,1.75,0.0
265635872,1,0,40,198.35,1,0.0,2.0,6.0,1.0,1.0,0.15,3.5,0.0
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,0.0
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,0.0
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,0.0
265929583,0,0,40,5.94,0,0.0,1.0,5.5,1.0,0.0,0.15,1.2,0.0
265929584,0,0,60,438.74,4,1.6,2.0,6.0,1.0,1.0,0.15,3.0,0.0
265929585,0,0,60,671.12,0,0.0,1.0,1.0,1.0,0.0,0.3,1.5,0.0
265929586,0,0,60,724.46,0,0.0,2.0,1.0,1.0,0.0,0.3,1.0,0.0
265929587,0,0,60,737.95,0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0
265929589,0,0,60,594.19,0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0
265929591,0,0,60,737.95,1,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0
271626108,0,0,40,229.97,1,0.1,0.0,4.0,1.0,1.0,0.15,1.5,0.0
271626109,0,0,40,11.87,0,0.1,0.0,4.0,1.0,1.0,0.15,1.5,0.0
286868369,0,0,60,425.86,2,0.0,2.0,6.0,1.0,0.0,0.15,1.2,0.0
286868370,0,0,60,699.86,2,0.0,2.0,7.0,1.0,0.0,0.225,2.85,0.0
