sourceid,PT,POI,Sr,Vm,PC
265635874,0,0,40,495.87,1
23450086,0,0,60,724.46,0
265635866,0,0,40,349.26,0
271626109,0,0,40,11.87,0
23450309,0,0,40,198.35,2
23450361,0,0,60,526.39,1
23229253,0,0,40,342.33,2
265635872,1,0,40,198.35,1
265929585,0,0,60,671.12,0
147963534,0,0,40,342.33,0
265929584,0,0,60,438.74,4
23450443,0,0,40,342.33,0
265635874,0,0,40,495.87,1
23450310,0,0,40,327.3,1
23450307,0,0,60,635.3,2
23450312,0,0,40,330.58,0
265635871,0,0,40,188.92,0
265929586,0,0,60,724.46,0
141332059,0,0,60,862.43,1
265929588,0,0,60,1270.61,0
23450312,0,0,40,330.58,0
265929583,0,0,40,5.94,0
271626108,0,0,40,229.97,1
265635874,0,0,40,495.87,1
265929587,0,0,60,737.95,0
23450442,1,0,60,864.46,2
211245922,0,0,60,573.6,0
265929588,0,0,60,1270.61,0
23450444,0,0,40,327.3,1
34587912,0,0,60,736.81,0
286868369,0,0,60,425.86,2
286868370,0,0,60,699.86,2
23228983,2,0,60,520.88,2
265929591,0,0,60,737.95,1
59228548,0,0,60,669.89,0
265929589,0,0,60,594.19,0
59228548,0,0,60,669.89,0
